,DOGEUSDT,ONDOUSDT,Spread,ZScore
141,0.10013,0.2732,-0.000653479999999998,-0.9596321973908817
142,0.10008,0.2725,-0.00044525000000000814,-0.5694199641330921
143,0.10019,0.2717,-4.012999999999933e-05,0.1413054942749667
144,0.09938,0.2703,-0.00033366999999999425,-0.33220517394355736
145,0.09923,0.2698,-0.0002992200000000028,-0.2322746634343918
146,0.0991,0.2692,-0.0002078800000000075,-0.058049443424356945
147,0.09903,0.2707,-0.0008312299999999884,-1.0652053084925521
148,0.09848,0.2693,-0.0008647700000000008,-1.0223513030615219
149,0.09829,0.2696,-0.0011654400000000037,-1.3894524289691341
150,0.09879,0.2707,-0.0010712299999999925,-1.1138991116667352
151,0.09872,0.2711,-0.001288789999999998,-1.3698604942985468
152,0.09882,0.2712,-0.0012256799999999929,-1.2342278004756742
153,0.09703,0.2675,-0.0016507500000000064,-1.9135874969676745
154,0.09699,0.2656,-0.0009898399999999918,-0.5210662504356441
155,0.09646,0.2624,-0.00033936000000001076,0.9755435352022369
156,0.09597,0.2609,-0.0002760100000000071,1.064455360492956
157,0.09606,0.2615,-0.00040735000000000077,0.7421690166047828
158,0.09574,0.2604,-0.0003215599999999985,0.8464388758570328
159,0.09614,0.261,-0.00014290000000000136,1.213609225272985
160,0.09595,0.2605,-0.0001484500000000083,1.0931198104768411
161,0.09559,0.259,4.489999999998662e-05,1.3565589906766886
162,0.09538,0.2587,-5.4429999999994205e-05,1.0566793975843212
163,0.09446,0.2561,-1.5290000000001136e-05,1.063545555529742
164,0.09474,0.2569,-3.0410000000008486e-05,1.0317545087229452
165,0.09496,0.2578,-0.00014241999999999033,0.7837558646083275
166,0.09517,0.2589,-0.00033821000000000545,0.40612704253134596
167,0.09509,0.2591,-0.0004919900000000116,0.13355244053959586
168,0.09471,0.2578,-0.00039241999999999055,0.29056782290712324
169,0.0948,0.2569,2.958999999998213e-05,1.0263957025656636
170,0.09494,0.2558,0.0005753799999999865,1.835422915300562
171,0.0947,0.2555,0.0004460500000000034,1.437128207553961
172,0.09471,0.256,0.00027159999999999684,1.0398456954514075
173,0.09457,0.256,0.0001315999999999956,0.7025575259708771
174,0.09478,0.2553,0.0005998299999999956,1.85240708145216
175,0.09483,0.2555,0.0005760499999999946,1.7415259358929716
176,0.09409,0.2544,0.0002418399999999793,0.6919612139941623
177,0.09406,0.2541,0.00032251000000001195,0.8455881895593353
178,0.09369,0.2531,0.0003214099999999942,0.7636303880027298
179,0.09384,0.2534,0.0003607399999999983,0.8016927659858635
180,0.09448,0.2561,4.70999999999111e-06,-0.33220261187135114
181,0.09448,0.2574,-0.0004748600000000075,-1.6850340341137486
182,0.0953,0.2588,-0.00017132000000000258,-0.7456611914735045
183,0.09533,0.2592,-0.00028887999999999137,-1.0306171784640081
184,0.09555,0.2586,0.00015245999999999316,0.20325900858789456
185,0.09455,0.2567,-0.00014662999999999482,-0.6280602457235536
186,0.09403,0.2536,0.0004769599999999985,1.031699446618788
187,0.09411,0.2539,0.0004462899999999881,0.8612984050262905
188,0.09446,0.2548,0.00046427999999999747,0.8433707154118782
189,0.09401,0.2532,0.0006045199999999973,1.1862062211726807
190,0.09378,0.2526,0.0005958600000000036,1.052253805875511
191,0.09306,0.251,0.00046609999999999707,0.6687721703459584
192,0.09299,0.25,0.0007650000000000018,1.49592228227907
193,0.09389,0.2521,0.0008903100000000053,1.6537283463098542
194,0.09404,0.2529,0.0007451899999999928,1.1308620323084808
195,0.09404,0.2526,0.00085586,1.3503250025812545
196,0.09421,0.253,0.0008782999999999985,1.3203519875622443
197,0.09457,0.2522,0.0015334200000000076,2.375770243564984
198,0.0939,0.2501,0.0016381099999999982,2.148405766884791
199,0.09385,0.2507,0.0013667700000000033,1.4651367385821752
