,BIOUSDT,PIPPINUSDT,Spread,ZScore
60,0.02127,0.35964,-0.00030840000000000034,1.1012630834097337
61,0.02143,0.36201,-0.0002905999999999985,1.0269037926942848
62,0.02111,0.36243,-0.0006357999999999989,0.40675296420668117
63,0.02081,0.36733,-0.0012297999999999996,-0.8041430794552613
64,0.0212,0.36618,-0.0007707999999999986,0.03654158945931193
65,0.02128,0.35946,-0.00028759999999999897,1.0017531401391495
66,0.02122,0.36284,-0.0005503999999999995,0.35038947052154934
67,0.02093,0.35884,-0.0006003999999999975,0.20793471709990868
68,0.02102,0.35956,-0.0005535999999999978,0.3788909400349618
69,0.02076,0.34486,6.840000000000318e-05,1.7869558478234107
70,0.02102,0.35105,-4.29999999999979e-05,1.4201898993003768
71,0.02066,0.3522,-0.0004720000000000002,0.47082567877702913
72,0.02094,0.35774,-0.0005243999999999978,0.2923511505534267
73,0.02056,0.36263,-0.0011978000000000023,-1.3352565012862363
74,0.02042,0.36105,-0.0012429999999999976,-1.629482590420169
75,0.02038,0.36365,-0.0014389999999999993,-2.058108958612633
76,0.02052,0.36148,-0.001168800000000001,-1.2826619386041442
77,0.02065,0.35535,-0.000670999999999998,-0.0800867338454822
78,0.02073,0.35452,-0.0005412000000000021,0.24228950000536228
79,0.02053,0.35917,-0.0010201999999999989,-0.8556522553195078
80,0.02063,0.35539,-0.0006934000000000003,-0.045123914474194206
81,0.02077,0.35585,-0.0005809999999999982,0.26576591703984526
82,0.02067,0.34838,-0.00023279999999999829,1.116337886123702
83,0.02081,0.35074,-0.0002343999999999992,1.0352177973744596
84,0.02063,0.35542,-0.0006952,-0.1377880189816268
85,0.02051,0.3525,-0.0006399999999999982,-0.014352509139302305
86,0.02038,0.34922,-0.0005731999999999994,0.19268605477037837
87,0.02017,0.34636,-0.0006116000000000003,0.1013221271274978
88,0.02051,0.34148,2.1200000000002467e-05,1.5512870444779392
89,0.02087,0.34027,0.00045380000000000073,2.157370548416406
90,0.021,0.34528,0.0002832000000000043,1.718003116339923
91,0.02082,0.34106,0.00035640000000000324,1.729681156514581
92,0.02076,0.33687,0.0005478000000000011,1.821993722615964
93,0.02075,0.34109,0.0002846000000000029,1.2416192563241015
94,0.02047,0.33414,0.00042160000000000114,1.3327628598070433
95,0.0207,0.33448,0.0006312000000000019,1.521402000500244
96,0.02077,0.33608,0.0006052000000000002,1.3871464421722794
97,0.02095,0.33683,0.0007401999999999999,1.4926422293053463
98,0.02082,0.33294,0.0008435999999999999,1.4947954075917935
99,0.02108,0.32962,0.0013027999999999998,1.9460742914936437
100,0.02137,0.32392,0.0019348000000000004,2.4394037262879116
101,0.02122,0.31539,0.0022965999999999993,2.3970019722761564
102,0.02134,0.31927,0.002183800000000003,1.944076843195042
103,0.02131,0.3226,0.001954000000000001,1.4954311656820327
104,0.02104,0.31936,0.0018784000000000023,1.2735529958070768
105,0.02092,0.31982,0.001730800000000001,1.0254100431170798
106,0.02098,0.32007,0.0017757999999999975,0.9900377749953467
107,0.0211,0.3219,0.0017859999999999994,0.9257926283649035
108,0.02111,0.32613,0.001542200000000004,0.5637531572056271
109,0.02101,0.33106,0.0011463999999999988,-0.04248532658826382
110,0.02092,0.35502,-0.0003811999999999982,-1.985969052760372
111,0.02083,0.36242,-0.000915199999999998,-2.296093413186149
112,0.02091,0.345,0.00021000000000000532,-0.985192489568868
113,0.02082,0.3458,7.200000000000262e-05,-1.0917923465505914
114,0.02089,0.35257,-0.00026419999999999916,-1.3900502447971288
115,0.02081,0.35907,-0.0007342000000000008,-1.7100667403864993
116,0.02084,0.36664,-0.0011584000000000004,-1.8604778843201255
117,0.02063,0.36882,-0.0014991999999999991,-1.8800336179546315
118,0.02051,0.36982,-0.0016791999999999987,-1.7677631030943493
119,0.02067,0.37853,-0.0020417999999999964,-1.7714304076182896
120,0.02091,0.38833,-0.0023897999999999975,-1.7452980923155457
121,0.02098,0.37467,-0.0015002000000000001,-1.0714195975614713
122,0.02089,0.37179,-0.0014173999999999992,-0.930596979662686
123,0.02097,0.36558,-0.0009648000000000018,-0.5646964456830135
124,0.02079,0.37166,-0.0015095999999999998,-0.8542025365822147
125,0.02088,0.36445,-0.0009869999999999983,-0.4133728226812851
126,0.021,0.3631,-0.000785999999999995,-0.1854435997360686
127,0.02107,0.34076,0.0006243999999999972,1.0758596931946303
128,0.02114,0.34792,0.00026479999999999906,0.919306998844142
129,0.02113,0.35217,-1.9999999999881224e-07,0.8286525920000376
130,0.02122,0.3478,0.0003520000000000016,1.3576716091510006
131,0.02112,0.35116,5.039999999999906e-05,0.9587239093373124
132,0.02111,0.34939,0.00014660000000000367,0.9862540875487286
133,0.02153,0.35291,0.00035540000000000224,1.203642275634187
134,0.02133,0.34425,0.0006749999999999985,1.47106883112144
135,0.02126,0.34556,0.0005264000000000033,1.2258009974515631
136,0.02116,0.35134,7.960000000000259e-05,0.7108461115131982
137,0.02098,0.34631,0.00020139999999999741,0.7639116060480149
138,0.02089,0.35425,-0.00036500000000000074,0.13443886618883125
139,0.02106,0.36091,-0.0005946000000000007,-0.16638139900847257
140,0.02093,0.35754,-0.0005223999999999993,-0.18151638150469543
141,0.02111,0.35661,-0.00028659999999999797,-0.024428981786655184
142,0.02094,0.35483,-0.00034979999999999734,-0.2095433412819901
143,0.021,0.36097,-0.0006581999999999977,-0.8083310554581151
144,0.02097,0.37001,-0.0012306000000000018,-1.6941262718920675
145,0.021,0.37165,-0.001298999999999998,-1.8873951460460334
146,0.02088,0.37699,-0.0017393999999999986,-2.2993750413215457
147,0.02086,0.38489,-0.0022334,-2.472322016749206
148,0.02066,0.40222,-0.003473199999999999,-2.924174565096322
